last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Kimbrel, Craig,R,84.4,,,,,,59.1
Kaprielian, James,R,84.3,98.2,,62.4,,18.9,48.3
Frankoff, Seth,R,84.3,,,89.6,,32.6,87
Enns, Dietrich,L,84.2,,21.9,,,,
Kelly, Joe,R,84.2,95.8,,93.8,,,62.7
Warren, Art,R,84.2,,,,,32.4,
Underwood Jr., Duane,R,84.1,90.1,,90.2,,,70.9
Velasquez, Vince,R,84.1,86.4,,80.7,,35.3,64
Alvarado, José,L,84.1,99.3,22.8,,,,46
Garrett, Amir,L,84.1,,,,,12.7,
Rodriguez, Jefry,R,84,90.3,,,,,34.1
Boyd, Matthew,L,84,93,,84.3,,25.4,95.2
Hernandez, Elieser,R,83.9,,,90.8,,66,
Graveman, Kendall,R,83.9,94.9,,78.3,,28.9,59.4
Winkler, Dan,R,83.9,84.9,53.2,,,,48.3
Minter, A.J.,L,83.8,,29.6,92,,,
Brentz, Jake,L,83.7,,,97,,26.7,
Andriese, Matt,R,83.7,86.9,17.2,22.4,,,73.8
Effross, Scott,R,83.6,91.3,,85.2,,55.8,
Strasburg, Stephen,R,83.6,92.4,,87.9,,,80.1
Alcantara, Sandy,R,83.6,91.3,,84.4,,17.5,31.8
Cody, Kyle,R,83.5,94.8,,87.2,,44.7,
Sale, Chris,L,83.4,92.7,,92.2,,59.9,
Hearn, Taylor,L,83.4,89.6,,69.4,,35.8,
Ponce, Cody,R,83.3,,37,85.9,,23.7,68.5
Hess, David,R,83.3,,,,,36.4,
Ramirez, Yohan,R,83.3,,,,,69.6,
Newsome, Ljay,R,83.3,,,71.1,,,36.4
Wittgren, Nick,R,83.2,,32.8,68.2,,40.3,
Jones, Nate,R,83.1,87.7,,,,12,
Castillo, Diego,R,83.1,96.7,,,,22.2,
Boxberger, Brad,R,83.1,,,78.5,,41.2,
Smith, Drew,R,83.1,90.2,36,95,,,81
Woodruff, Brandon,R,83,91.6,,82.7,,27.7,66.3
Pomeranz, Drew,L,83,,,,,,73.7
Buehler, Walker,R,83,89.5,45.5,84.6,,64.5,86.1
Alexander, Tyler,L,83,94.4,39.9,86.3,,27.2,
Martin, Corbin,R,82.9,,,74.8,,32.7,56.3
Gil, Luis,R,82.8,,,92.4,,40.6,
Watson, Tony,L,82.8,95.8,,96.4,,18.7,
Kinley, Tyler,R,82.7,,,89.3,,25.9,
Mantiply, Joe,L,82.7,95.1,,93.8,,,43.9
Berríos, José,R,82.7,97,,82.9,,,74.5
Trivino, Lou,R,82.6,97.6,45.6,88.5,,,74.2
Montgomery, Jordan,L,82.5,94.2,35.7,85.8,,,27.8
Manning, Matt,R,82.5,92.1,,90,,32.2,72.1
Beasley, Jeremy,R,82.5,,,69.5,,51.6,
Rodríguez, Joely,L,82.3,97.3,,80.4,,21.2,
Sewald, Paul,R,82.2,,,,,66.2,
Díaz, Yennsy,R,82.1,,,90.6,,19.8,
Fairbanks, Pete,R,82.1,,,,,34.3,
Head, Louis,R,82.1,,,,,59.4,
Allen, Logan,L,82.1,,,89.3,,60.7,78.5
Gallen, Zac,R,82,,51.7,77.2,,39.4,73.5
Holloway, Jordan,R,82,88.1,,,,27.6,75.5
Valdez, César,R,82,89,,62.9,,45.4,
Treinen, Blake,R,82,94.4,35.3,,,63.1,
Davidson, Tucker,L,81.9,,,,,21.8,61.7
Law, Derek,R,81.9,,,,,25.8,60.6
Marshall, Evan,R,81.9,88.2,,92.2,,,65.9
Davis, Austin,L,81.9,,,89.5,,40.1,
Webb, Tyler,L,81.9,96,,86.7,,,47.9
Fulmer, Carson,R,81.8,,25.1,89.5,,,46.8
Lynch, Daniel,L,81.8,93.9,,90.2,,8.6,29.5
Knebel, Corey,R,81.8,,,,,,93.1
Voth, Austin,R,81.8,,33.6,,,,81.2
Murphy, Patrick,R,81.8,91,,,,,79.3
Oswalt, Corey,R,81.8,,,67.6,,34.9,
Rasmussen, Drew,R,81.8,,,93.6,,30.1,65.8
Hanhold, Eric,R,81.7,,,66.5,,43.5,
Morgan, Adam,L,81.7,88.8,,79.1,,33.5,50.1
Bumgarner, Madison,L,81.7,89.9,36.3,83.8,,,52.2
Peralta, Freddy,R,81.7,90.6,,85.9,,67.9,52.9
