last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Montas, Frankie,R,91.6,91.2,,,,31.1,
Sánchez, Sixto,R,91.6,86.3,28.8,91.9,,34.2,
Hearn, Taylor,L,91.6,,,85.2,,42.4,
Romo, Sergio,R,91.6,91.8,,99.7,,55.8,
Boyd, Matthew,L,91.5,92.9,,89.5,,32.9,92.4
Bubic, Kris,L,91.4,,,99,,,75.4
Ponce, Cody,R,91.3,94.3,50.7,99.7,,,84
Pineda, Michael,R,91.3,,,93.9,,10,
Iglesias, Raisel,R,91.3,92,,89.3,,31.4,
Green, Chad,R,91.3,,,,,,44.3
Young, Alex,L,91.2,90.4,49.3,90,,,23.5
Eflin, Zach,R,91.2,88.5,,99,,45.8,68.2
Lamet, Dinelson,R,91.1,93.2,,,,16.8,
Kelly, Joe,R,91.1,91.7,,,,,64.2
Romano, Jordan,R,91.1,,,,,20.7,
Bielak, Brandon,R,91,,32.7,91.1,,31.7,87.4
Hembree, Heath,R,91,,,,,34.9,63.3
González, Gio,L,90.9,88.1,,97.7,,,86.8
Montero, Rafael,R,90.8,86,,88.1,,32.7,
Castillo, Luis,R,90.8,91.1,,90.4,,13,
Alexander, Tyler,L,90.7,95.2,43,92.2,,28.9,
Cessa, Luis,R,90.6,88.9,,86.5,,21.1,
Keller, Mitch,R,90.6,,,95.3,,32.2,84.1
Smeltzer, Devin,L,90.6,,,88.5,,38.7,76.1
Barría, Jaime,R,90.5,92.4,,94.5,,29,
Underwood Jr., Duane,R,90.5,,,89.1,,,69
Phelps, David,R,90.5,90.5,55.9,,,,60.7
Kinley, Tyler,R,90.5,,,98.3,,23,
Almonte, Yency,R,90.5,92.8,,98.7,,37.7,
Scherzer, Max,R,90.5,,50.2,98.6,,23.1,70.5
López, Yoan,R,90.4,,,,,44.5,
Reyes, Alex,R,90.3,88.9,,98.9,,33.5,96
Dobnak, Randy,R,90.3,86.6,,97.5,,15.3,
Pagán, Emilio,R,90.1,,33.9,,,,
Romero, JoJo,L,90,89,,95.2,,32.1,
Porcello, Rick,R,90,89,,97.1,,41,66.4
Happ, J.A.,L,90,79.7,,96.7,,29.1,
Middleton, Keynan,R,90,,,83,,25,
Webb, Tyler,L,90,88.7,,98.7,,,63.1
Castellani, Ryan,R,90,92,,98.6,,25.4,73
Shoemaker, Matt,R,89.9,88.3,,,,22.6,63.5
Familia, Jeurys,R,89.9,88.3,,,,34.1,
Herget, Jimmy,R,89.8,84.3,,82.4,,22.7,50.5
Chapman, Aroldis,L,89.8,,,,,39,
Hoyt, James,R,89.8,92.8,,,,11.4,
Márquez, Germán,R,89.7,85.3,,95.8,,22.7,31.8
Leibrandt, Brandon,L,89.6,,,96.8,,48.2,69.8
Cueto, Johnny,R,89.6,88.7,,76.3,,37.8,22.9
Clarke, Taylor,R,89.5,,,93.6,,29.6,67.2
Jeffress, Jeremy,R,89.5,91,,,,,59.5
Curtiss, John,R,89.5,,,,,33.3,
